Nation,Year,Pop
Bosnia and Herzegovina,Year1987,--
Bulgaria,Year1987,8.97196
Croatia,Year1987,--
United States,Year1987,242.28892
Cyprus,Year1987,0.70162
Czech Republic,Year1987,--
Denmark,Year1987,5.12702
Faroe Islands,Year1987,0.04668
Finland,Year1987,4.93173
Former Czechoslovakia,Year1987,15.51092
Former Serbia and Montenegro,Year1987,--
Former Yugoslavia,Year1987,22.70435
France,Year1987,55.78574
Germany,Year1987,--
Central & South America,Year1987,338.59859
"Germany, East",Year1987,16.6283
"Germany, West",Year1987,61.09
Gibraltar,Year1987,0.02953
Greece,Year1987,9.97449
Hungary,Year1987,10.61274
Iceland,Year1987,0.24468
Ireland,Year1987,3.5399
Italy,Year1987,56.75266
Luxembourg,Year1987,0.37166
Macedonia,Year1987,--
Antarctica,Year1987,
Malta,Year1987,0.34905
Montenegro,Year1987,--
Netherlands,Year1987,14.66528
Norway,Year1987,4.18615
Poland,Year1987,37.74071
Portugal,Year1987,9.91529
Romania,Year1987,22.68637
Serbia,Year1987,--
Slovakia,Year1987,--
Slovenia,Year1987,--
Antigua and Barbuda,Year1987,0.06442
Spain,Year1987,38.8807
Sweden,Year1987,8.4214
Switzerland,Year1987,6.67749
Turkey,Year1987,53.24267
United Kingdom,Year1987,57.14729
Eurasia,Year1987,282.67508
Armenia,Year1987,--
Azerbaijan,Year1987,--
Belarus,Year1987,--
Estonia,Year1987,--
North America,Year1988,353.2939
Bermuda,Year1988,0.05717
Argentina,Year1988,32.09932
Former U.S.S.R.,Year1988,284.97091
Georgia,Year1988,--
Kazakhstan,Year1988,--
Kyrgyzstan,Year1988,--
Latvia,Year1988,--
Lithuania,Year1988,--
Moldova,Year1988,--
Russia,Year1988,--
Tajikistan,Year1988,--
Turkmenistan,Year1988,--
Aruba,Year1988,0.0595
Ukraine,Year1988,--
Uzbekistan,Year1988,--
Middle East,Year1988,126.3694
Bahrain,Year1988,0.4696
Iran,Year1988,54.17826
Iraq,Year1988,17.04056
Israel,Year1988,4.28204
Jordan,Year1988,2.92078
Kuwait,Year1988,1.9732
Lebanon,Year1988,3.32778
"Bahamas, The",Year1988,0.23771
Oman,Year1988,1.67076
Palestine,Year1988,--
Qatar,Year1988,0.41346
Saudi Arabia,Year1988,15.23313
Syria,Year1988,11.64601
United Arab Emirates,Year1988,1.62275
Yemen,Year1988,11.59107
Africa,Year1988,599.18529
Algeria,Year1988,23.88077
Angola,Year1988,8.02339
Barbados,Year1988,0.25995
Benin,Year1988,4.42211
Botswana,Year1988,1.18894
Burkina Faso,Year1988,7.83349
Burundi,Year1988,5.27884
Cameroon,Year1988,11.20098
Cape Verde,Year1988,0.3305
Central African Republic,Year1988,2.91718
Chad,Year1988,5.55634
Comoros,Year1988,0.40603
Congo (Brazzaville),Year1988,2.13006
Belize,Year1988,0.1814
Congo (Kinshasa),Year1988,36.62816
Cote dIvoire (IvoryCoast),Year1988,11.51174
Djibouti,Year1988,0.41715
Egypt,Year1988,53.16221
Equatorial Guinea,Year1988,0.35165
Eritrea,Year1988,--
Ethiopia,Year1988,48.67474
Gabon,Year1988,0.89974
"Gambia, The",Year1988,0.88042
Ghana,Year1988,14.57413
Bolivia,Year1988,6.28316
Guinea,Year1988,5.66683
Guinea-Bissau,Year1988,0.94954
Kenya,Year1988,21.91587
Lesotho,Year1988,1.64484
Liberia,Year1988,2.37595
Libya,Year1988,3.91898
Madagascar,Year1988,10.95734
Malawi,Year1988,8.58662
Mali,Year1988,7.97719
Mauritania,Year1988,1.8485
Brazil,Year1988,145.87275
Mauritius,Year1988,1.04494
Morocco,Year1988,23.08648
Mozambique,Year1988,12.52301
Namibia,Year1988,--
Niger,Year1988,7.39913
Nigeria,Year1988,91.76042
Reunion,Year1988,0.57
Rwanda,Year1988,6.59722
Saint Helena,Year1988,0.00659
Sao Tome and Principe,Year1988,0.11094
Cayman Islands,Year1988,0.0245
Senegal,Year1988,6.91257
Seychelles,Year1988,0.0692
Sierra Leone,Year1988,3.96778
Somalia,Year1988,6.91829
South Africa,Year1988,38.12772
Sudan,Year1988,24.67247
Swaziland,Year1988,0.81499
Tanzania,Year1988,23.76376
Togo,Year1988,3.47514
Tunisia,Year1988,7.89856
Chile,Year1988,12.67869
Uganda,Year1988,16.17642
Western Sahara,Year1988,0.20143
Zambia,Year1988,7.41797
Zimbabwe,Year1988,9.56005
Asia & Oceania,Year1988,2853.88173
Afghanistan,Year1988,13.09382
American Samoa,Year1988,0.04362
Australia,Year1988,16.40073
Bangladesh,Year1988,108.37452
Bhutan,Year1988,0.58289
Colombia,Year1988,31.77087
Brunei,Year1988,0.23888
Burma (Myanmar),Year1988,39.02532
Cambodia,Year1988,8.71641
China,Year1988,1112.86641
Cook Islands,Year1988,0.01791
Fiji,Year1988,0.72637
French Polynesia,Year1988,0.19117
Guam,Year1988,0.12755
Hawaiian Trade Zone,Year1988,--
Hong Kong,Year1988,5.62841
Canada,Year1988,26.8948
Costa Rica,Year1988,2.87412
India,Year1988,806.3794
Indonesia,Year1988,176.16566
Japan,Year1988,122.613
Kiribati,Year1988,0.06748
"Korea, North",Year1988,19.37114
"Korea, South",Year1988,42.031
Laos,Year1988,3.97988
Macau,Year1988,0.33214
Malaysia,Year1988,17.05511
Maldives,Year1988,0.20008
Cuba,Year1988,10.30552
Mongolia,Year1988,2.07072
Nauru,Year1988,0.0091
Nepal,Year1988,17.92208
New Caledonia,Year1988,0.16194
New Zealand,Year1988,3.35931
Niue,Year1988,0.002
Pakistan,Year1988,112.02109
Papua New Guinea,Year1988,3.49213
Philippines,Year1988,62.08071
Samoa,Year1988,0.16152
Dominica,Year1988,0.07134
Singapore,Year1988,2.86927
Solomon Islands,Year1988,0.30118
Sri Lanka,Year1988,16.90308
Taiwan,Year1988,19.9761
Thailand,Year1988,53.68343
Timor-Leste (East Timor),Year1988,--
Tonga,Year1988,0.09332
U.S. Pacific Islands,Year1988,0.18841
Vanuatu,Year1988,0.14612
Vietnam,Year1988,64.21135
Dominican Republic,Year1988,6.79877
Wake Island,Year1988,
World,Year1988,5113.1907
Ecuador,Year1988,9.79412
El Salvador,Year1988,4.93899
Falkland Islands (Islas Malvinas),Year1988,0.002
French Guiana,Year1988,0.11
Grenada,Year1988,0.09429
Guadeloupe,Year1988,0.367
Greenland,Year1988,0.05485
Guatemala,Year1988,8.49582
Guyana,Year1988,0.76655
Haiti,Year1988,6.51878
Honduras,Year1988,4.51498
Jamaica,Year1988,2.32943
Martinique,Year1988,0.365
Montserrat,Year1988,0.01097
Netherlands Antilles,Year1988,0.18669
Nicaragua,Year1988,3.43506
Panama,Year1988,2.30168
Mexico,Year1988,81.78182
Paraguay,Year1988,3.96344
Peru,Year1988,20.71066
Puerto Rico,Year1988,3.47499
Saint Kitts and Nevis,Year1988,0.04219
Saint Lucia,Year1988,0.1355
Saint Vincent/Grenadines,Year1988,0.10614
Suriname,Year1988,0.38856
Trinidad and Tobago,Year1988,1.23838
Turks and Caicos Islands,Year1988,0.01061
Uruguay,Year1988,3.0675
Saint Pierre and Miquelon,Year1988,0.00628
Venezuela,Year1988,18.37853
"Virgin Islands,  U.S.",Year1988,0.10095
"Virgin Islands, British",Year1988,0.01462
Europe,Year1988,550.04403
Albania,Year1988,3.13684
Austria,Year1988,7.59979
Belgium,Year1988,9.884
Bosnia and Herzegovina,Year1988,--
Bulgaria,Year1988,8.98203
Croatia,Year1988,--
United States,Year1988,244.49898
Cyprus,Year1988,0.71303
Czech Republic,Year1988,--
Denmark,Year1988,5.12952
Faroe Islands,Year1988,0.04709
Finland,Year1988,4.94663
Former Czechoslovakia,Year1988,15.537
Former Serbia and Montenegro,Year1988,--
Former Yugoslavia,Year1988,22.81812
France,Year1988,56.04352
Germany,Year1988,--
Central & South America,Year1988,345.44544
"Germany, East",Year1988,16.61057
"Germany, West",Year1988,61.42
Gibraltar,Year1988,0.03003
Greece,Year1988,9.98272
Hungary,Year1988,10.4425
Iceland,Year1988,0.24989
Ireland,Year1988,3.5296
Italy,Year1988,56.75707
Luxembourg,Year1988,0.37562
Macedonia,Year1988,--
Antarctica,Year1988,
Malta,Year1988,0.35195
Montenegro,Year1988,--
Netherlands,Year1988,14.76134
Norway,Year1988,4.20873
Poland,Year1988,37.86684
Portugal,Year1988,9.92061
Romania,Year1988,22.7689
Serbia,Year1988,--
Slovakia,Year1988,--
Slovenia,Year1988,--
Antigua and Barbuda,Year1988,0.06443
Spain,Year1988,39.05388
Sweden,Year1988,8.46934
Switzerland,Year1988,6.73194
Turkey,Year1988,54.35553
United Kingdom,Year1988,57.31941
Eurasia,Year1988,284.97091
Armenia,Year1988,--
Azerbaijan,Year1988,--
Belarus,Year1988,--
Estonia,Year1988,--
North America,Year1989,357.68457
Bermuda,Year1989,0.05749
Argentina,Year1989,32.57162
Former U.S.S.R.,Year1989,286.40742
Georgia,Year1989,--
Kazakhstan,Year1989,--
Kyrgyzstan,Year1989,--
Latvia,Year1989,--
Lithuania,Year1989,--
Moldova,Year1989,--
Russia,Year1989,--
Tajikistan,Year1989,--
Turkmenistan,Year1989,--
Aruba,Year1989,0.06069
Ukraine,Year1989,--
Uzbekistan,Year1989,--
Middle East,Year1989,130.54699
Bahrain,Year1989,0.48494
Iran,Year1989,55.92667
Iraq,Year1989,17.57254
Israel,Year1989,4.35535
Jordan,Year1989,3.0235
Kuwait,Year1989,2.05683
Lebanon,Year1989,3.37448
"Bahamas, The",Year1989,0.24124
Oman,Year1989,1.73179
Palestine,Year1989,--
Qatar,Year1989,0.43016
Saudi Arabia,Year1989,15.82936
Syria,Year1989,12.05294
United Arab Emirates,Year1989,1.72206
Yemen,Year1989,11.98639
Africa,Year1989,614.7485
Algeria,Year1989,24.49631
Angola,Year1989,8.15384
Barbados,Year1989,0.26109
Benin,Year1989,4.56116
Botswana,Year1989,1.22652
Burkina Faso,Year1989,8.09154
Burundi,Year1989,5.40437
Cameroon,Year1989,11.54012
Cape Verde,Year1989,0.33517
Central African Republic,Year1989,2.99987
Chad,Year1989,5.71491
Comoros,Year1989,0.41731
Congo (Brazzaville),Year1989,2.19717
Belize,Year1989,0.18643
Congo (Kinshasa),Year1989,37.80413
Cote dIvoire (IvoryCoast),Year1989,11.93065
Djibouti,Year1989,0.44245
Egypt,Year1989,53.94841
Equatorial Guinea,Year1989,0.36119
Eritrea,Year1989,--
Ethiopia,Year1989,50.12821
Gabon,Year1989,0.91884
"Gambia, The",Year1989,0.91399
Ghana,Year1989,14.98276
Bolivia,Year1989,6.42314
Guinea,Year1989,5.80969
Guinea-Bissau,Year1989,0.97239
Kenya,Year1989,22.63477
Lesotho,Year1989,1.67402
Liberia,Year1989,2.45297
Libya,Year1989,4.03295
Madagascar,Year1989,11.28916
Malawi,Year1989,9.09083
Mali,Year1989,8.15635
Mauritania,Year1989,1.88583
Brazil,Year1989,148.65864
Mauritius,Year1989,1.0534
Morocco,Year1989,23.5498
Mozambique,Year1989,12.4821
Namibia,Year1989,--
Niger,Year1989,7.60756
Nigeria,Year1989,94.15965
Reunion,Year1989,0.59
Rwanda,Year1989,6.81686
Saint Helena,Year1989,0.00663
Sao Tome and Principe,Year1989,0.11338
Cayman Islands,Year1989,0.02507
Senegal,Year1989,7.12729
Seychelles,Year1989,0.07001
Sierra Leone,Year1989,4.06415
Somalia,Year1989,6.76633
South Africa,Year1989,39.04797
Sudan,Year1989,25.19269
Swaziland,Year1989,0.8493
Tanzania,Year1989,24.48489
Togo,Year1989,3.59714
Tunisia,Year1989,8.05669
Chile,Year1989,12.90232
Uganda,Year1989,16.83238
Western Sahara,Year1989,0.20926
Zambia,Year1989,7.63494
Zimbabwe,Year1989,9.8682
Asia & Oceania,Year1989,2904.74454
Afghanistan,Year1989,13.40714
American Samoa,Year1989,0.04538
Australia,Year1989,16.6806
Bangladesh,Year1989,110.31623
Bhutan,Year1989,0.59961
Colombia,Year1989,32.46085
Brunei,Year1989,0.24585
Burma (Myanmar),Year1989,39.73446
Cambodia,Year1989,9.03814
China,Year1989,1130.72941
Cook Islands,Year1989,0.01815
Fiji,Year1989,0.73303
French Polynesia,Year1989,0.19654
Guam,Year1989,0.13095
Hawaiian Trade Zone,Year1989,--
Hong Kong,Year1989,5.66072
Canada,Year1989,27.3793
Costa Rica,Year1989,2.94989
India,Year1989,822.21883
Indonesia,Year1989,179.33997
Japan,Year1989,123.1075
Kiribati,Year1989,0.06939
"Korea, North",Year1989,19.68791
"Korea, South",Year1989,42.449
Laos,Year1989,4.09357
Macau,Year1989,0.34124
Malaysia,Year1989,17.47198
Maldives,Year1989,0.2082
Cuba,Year1989,10.4079
Mongolia,Year1989,2.1606
Nauru,Year1989,0.0093
Nepal,Year1989,18.41093
New Caledonia,Year1989,0.16512
New Zealand,Year1989,3.37554
Niue,Year1989,0.002
Pakistan,Year1989,115.41922
Papua New Guinea,Year1989,3.58588
Philippines,Year1989,63.55467
Samoa,Year1989,0.1621
Dominica,Year1989,0.07051
Singapore,Year1989,2.95775
Solomon Islands,Year1989,0.31104
Sri Lanka,Year1989,17.14229
Taiwan,Year1989,20.20754
Thailand,Year1989,54.44569
Timor-Leste (East Timor),Year1989,--
Tonga,Year1989,0.09278
U.S. Pacific Islands,Year1989,0.1998
Vanuatu,Year1989,0.15
Vietnam,Year1989,65.86848
Dominican Republic,Year1989,6.94187
Wake Island,Year1989,
World,Year1989,5199.68056
Ecuador,Year1989,10.04822
El Salvador,Year1989,5.02478
Falkland Islands (Islas Malvinas),Year1989,0.002
French Guiana,Year1989,0.11
Grenada,Year1989,0.0943
Guadeloupe,Year1989,0.38
Greenland,Year1989,0.05541
Guatemala,Year1989,8.73058
Guyana,Year1989,0.7686
Haiti,Year1989,6.65269
Honduras,Year1989,4.65602
Jamaica,Year1989,2.33666
Martinique,Year1989,0.369
Montserrat,Year1989,0.01085
Netherlands Antilles,Year1989,0.18763
Nicaragua,Year1989,3.53193
Panama,Year1989,2.3472
Mexico,Year1989,83.36684
Paraguay,Year1989,4.08056
Peru,Year1989,21.1507
Puerto Rico,Year1989,3.5056
Saint Kitts and Nevis,Year1989,0.04192
Saint Lucia,Year1989,0.1365
Saint Vincent/Grenadines,Year1989,0.10675
Suriname,Year1989,0.39255
Trinidad and Tobago,Year1989,1.24816
Turks and Caicos Islands,Year1989,0.01106
Uruguay,Year1989,3.0879
Saint Pierre and Miquelon,Year1989,0.00631
Venezuela,Year1989,18.85072
"Virgin Islands,  U.S.",Year1989,0.10104
"Virgin Islands, British",Year1989,0.01514
Europe,Year1989,553.34384
Albania,Year1989,3.1958
Austria,Year1989,7.62786
Belgium,Year1989,9.9377
Bosnia and Herzegovina,Year1989,--
Bulgaria,Year1989,8.99006
Croatia,Year1989,--
United States,Year1989,246.81923
Cyprus,Year1989,0.72686
Czech Republic,Year1989,--
Denmark,Year1989,5.13259
Faroe Islands,Year1989,0.04728
Finland,Year1989,4.96244
Former Czechoslovakia,Year1989,15.55901
Former Serbia and Montenegro,Year1989,--
Former Yugoslavia,Year1989,22.92399
France,Year1989,56.58272
Germany,Year1989,--
Central & South America,Year1989,352.20471
"Germany, East",Year1989,16.65491
"Germany, West",Year1989,61.99
Gibraltar,Year1989,0.03042
Greece,Year1989,10.03077
Hungary,Year1989,10.39796
Iceland,Year1989,0.25275
Ireland,Year1989,3.5132
Italy,Year1989,56.76072
Luxembourg,Year1989,0.37762
Macedonia,Year1989,--
Antarctica,Year1989,
Malta,Year1989,0.35532
Montenegro,Year1989,--
Netherlands,Year1989,14.84891
Norway,Year1989,4.22614
Poland,Year1989,37.97016
Portugal,Year1989,9.92315
Romania,Year1989,22.85212
Serbia,Year1989,--
Slovakia,Year1989,--
Slovenia,Year1989,--
Antigua and Barbuda,Year1989,0.06439
Spain,Year1989,39.21452
Sweden,Year1989,8.52628
Switzerland,Year1989,6.79173
Turkey,Year1989,55.46248
United Kingdom,Year1989,57.47839
Eurasia,Year1989,286.40742
Armenia,Year1989,--
Azerbaijan,Year1989,--
Belarus,Year1989,--
Estonia,Year1989,--
North America,Year1990,362.4468
Bermuda,Year1990,0.05778
Argentina,Year1990,33.03558
Former U.S.S.R.,Year1990,288.36232
Georgia,Year1990,--
Kazakhstan,Year1990,--
Kyrgyzstan,Year1990,--
Latvia,Year1990,--
Lithuania,Year1990,--
Moldova,Year1990,--
Russia,Year1990,--
Tajikistan,Year1990,--
Turkmenistan,Year1990,--
Aruba,Year1990,0.06303
Ukraine,Year1990,--
Uzbekistan,Year1990,--
Middle East,Year1990,135.1109
Bahrain,Year1990,0.50065
Iran,Year1990,58.1001
Iraq,Year1990,18.13996
Israel,Year1990,4.47781
Jordan,Year1990,3.26656
Kuwait,Year1990,2.14206
Lebanon,Year1990,3.44018
"Bahamas, The",Year1990,0.24513
Oman,Year1990,1.79438
Palestine,Year1990,--
Qatar,Year1990,0.44613
Saudi Arabia,Year1990,16.06076
Syria,Year1990,12.5
United Arab Emirates,Year1990,1.82625
Yemen,Year1990,12.41608
Africa,Year1990,630.91638
Algeria,Year1990,25.08903
Angola,Year1990,8.29661
Barbados,Year1990,0.26226
Benin,Year1990,4.70544
Botswana,Year1990,1.26461
Burkina Faso,Year1990,8.36104
Burundi,Year1990,5.53564
Cameroon,Year1990,11.8845
Cape Verde,Year1990,0.33976
Central African Republic,Year1990,3.08497
Chad,Year1990,5.84141
Comoros,Year1990,0.42914
Congo (Brazzaville),Year1990,2.266
Belize,Year1990,0.19087
Congo (Kinshasa),Year1990,39.04746
Cote dIvoire (IvoryCoast),Year1990,12.49088
Djibouti,Year1990,0.49919
Egypt,Year1990,54.90738
Equatorial Guinea,Year1990,0.3711
Eritrea,Year1990,--
Ethiopia,Year1990,51.53533
Gabon,Year1990,0.93808
"Gambia, The",Year1990,0.94943
Ghana,Year1990,15.40774
Bolivia,Year1990,6.5739
Guinea,Year1990,6.11845
Guinea-Bissau,Year1990,0.99599
Kenya,Year1990,23.35448
Lesotho,Year1990,1.70326
Liberia,Year1990,2.13859
Libya,Year1990,4.14639
Madagascar,Year1990,11.63287
Malawi,Year1990,9.546
Mali,Year1990,8.32711
Mauritania,Year1990,1.92498
Brazil,Year1990,151.17006
Mauritius,Year1990,1.0616
Morocco,Year1990,23.99997
Mozambique,Year1990,12.66657
Namibia,Year1990,1.47057
Niger,Year1990,7.84173
Nigeria,Year1990,96.60376
Reunion,Year1990,0.6
Rwanda,Year1990,6.99932
Saint Helena,Year1990,0.00668
Sao Tome and Principe,Year1990,0.11593
Cayman Islands,Year1990,0.02636
Senegal,Year1990,7.34761
Seychelles,Year1990,0.0708
Sierra Leone,Year1990,4.2282
Somalia,Year1990,6.69204
South Africa,Year1990,38.47627
Sudan,Year1990,25.8881
Swaziland,Year1990,0.8816
Tanzania,Year1990,25.21428
Togo,Year1990,3.72079
Tunisia,Year1990,8.21101
Chile,Year1990,13.12892
Uganda,Year1990,17.45576
Western Sahara,Year1990,0.21737
Zambia,Year1990,7.85755
Zimbabwe,Year1990,10.15604
Asia & Oceania,Year1990,2954.74639
Afghanistan,Year1990,13.44937
American Samoa,Year1990,0.0472
Australia,Year1990,16.95624
Bangladesh,Year1990,112.21257
Bhutan,Year1990,0.61474
Colombia,Year1990,33.14725
Brunei,Year1990,0.25289
Burma (Myanmar),Year1990,40.46361
Cambodia,Year1990,9.36752
China,Year1990,1148.36447
Cook Islands,Year1990,0.01839
Fiji,Year1990,0.73962
French Polynesia,Year1990,0.20182
Guam,Year1990,0.13413
Hawaiian Trade Zone,Year1990,--
Hong Kong,Year1990,5.68796
Canada,Year1990,27.7906
Costa Rica,Year1990,3.02327
India,Year1990,838.15883
Indonesia,Year1990,182.51628
Japan,Year1990,123.5374
Kiribati,Year1990,0.07129
"Korea, North",Year1990,20.01855
"Korea, South",Year1990,42.869
Laos,Year1990,4.21045
Macau,Year1990,0.35176
Malaysia,Year1990,17.88222
Maldives,Year1990,0.21661
Cuba,Year1990,10.51344
Mongolia,Year1990,2.21754
Nauru,Year1990,0.00949
Nepal,Year1990,18.91826
New Caledonia,Year1990,0.1689
New Zealand,Year1990,3.41168
Niue,Year1990,0.002
Pakistan,Year1990,118.81619
Papua New Guinea,Year1990,3.68283
Philippines,Year1990,65.08772
Samoa,Year1990,0.16283
Dominica,Year1990,0.07001
Singapore,Year1990,3.0471
Solomon Islands,Year1990,0.32113
Sri Lanka,Year1990,17.36508
Taiwan,Year1990,20.27825
Thailand,Year1990,55.19672
Timor-Leste (East Timor),Year1990,--
Tonga,Year1990,0.09212
U.S. Pacific Islands,Year1990,0.21367
Vanuatu,Year1990,0.15388
Vietnam,Year1990,67.25811
Dominican Republic,Year1990,7.08362
Wake Island,Year1990,
World,Year1990,5286.92957
Ecuador,Year1990,10.31804
El Salvador,Year1990,5.10982
Falkland Islands (Islas Malvinas),Year1990,0.002
French Guiana,Year1990,0.12
Grenada,Year1990,0.0942
Guadeloupe,Year1990,0.39
Greenland,Year1990,0.05563
Guatemala,Year1990,8.96555
Guyana,Year1990,0.77153
Haiti,Year1990,6.79794
Honduras,Year1990,4.79403
Jamaica,Year1990,2.34701
Martinique,Year1990,0.374
Montserrat,Year1990,0.01073
Netherlands Antilles,Year1990,0.18879
Nicaragua,Year1990,3.68513
Panama,Year1990,2.39344
Mexico,Year1990,84.91365
Paraguay,Year1990,4.20049
Peru,Year1990,21.59975
Puerto Rico,Year1990,3.53691
Saint Kitts and Nevis,Year1990,0.04166
Saint Lucia,Year1990,0.13756
Saint Vincent/Grenadines,Year1990,0.10739
Suriname,Year1990,0.3948
Trinidad and Tobago,Year1990,1.25519
Turks and Caicos Islands,Year1990,0.01151
Uruguay,Year1990,3.10954
Saint Pierre and Miquelon,Year1990,0.00632
Venezuela,Year1990,19.32522
"Virgin Islands,  U.S.",Year1990,0.10396
"Virgin Islands, British",Year1990,0.01569
Europe,Year1990,556.54704
Albania,Year1990,3.24493
Austria,Year1990,7.72295
Belgium,Year1990,9.96931
Bosnia and Herzegovina,Year1990,--
Bulgaria,Year1990,8.89403
Croatia,Year1990,--
United States,Year1990,249.62281
Cyprus,Year1990,0.74506
Czech Republic,Year1990,--
Denmark,Year1990,5.14095
Faroe Islands,Year1990,0.04744
Finland,Year1990,4.98643
Former Czechoslovakia,Year1990,15.57213
Former Serbia and Montenegro,Year1990,--
Former Yugoslavia,Year1990,23.01585
France,Year1990,56.9051
Germany,Year1990,--
Central & South America,Year1990,358.79973
"Germany, East",Year1990,16.15039
"Germany, West",Year1990,63.23
Gibraltar,Year1990,0.02911
Greece,Year1990,10.1296
Hungary,Year1990,10.37188
Iceland,Year1990,0.25472
Ireland,Year1990,3.5082
Italy,Year1990,56.76636
Luxembourg,Year1990,0.38297
Macedonia,Year1990,--
Antarctica,Year1990,
Malta,Year1990,0.35911
Montenegro,Year1990,--
Netherlands,Year1990,14.95151
Norway,Year1990,4.24201
Poland,Year1990,38.11941
Portugal,Year1990,9.92269
Romania,Year1990,22.86595
Serbia,Year1990,--
Slovakia,Year1990,--
Slovenia,Year1990,--
Antigua and Barbuda,Year1990,0.06416
Spain,Year1990,39.35077
Sweden,Year1990,8.60082
Switzerland,Year1990,6.86542
Turkey,Year1990,56.56068
United Kingdom,Year1990,57.6413
Eurasia,Year1990,288.36232
Armenia,Year1990,--
Azerbaijan,Year1990,--
Belarus,Year1990,--
Estonia,Year1990,--
North America,Year1991,367.70684
Bermuda,Year1991,0.0581
Argentina,Year1991,33.50441
Former U.S.S.R.,Year1991,289.94844
Georgia,Year1991,--
Kazakhstan,Year1991,--
Kyrgyzstan,Year1991,--
Latvia,Year1991,--
Lithuania,Year1991,--
Moldova,Year1991,--
Russia,Year1991,--
Tajikistan,Year1991,--
Turkmenistan,Year1991,--
Aruba,Year1991,0.0663
Ukraine,Year1991,--
Uzbekistan,Year1991,--
Middle East,Year1991,137.61894
Bahrain,Year1991,0.51543
Iran,Year1991,60.49643
Iraq,Year1991,17.47737
Israel,Year1991,4.64934
Jordan,Year1991,3.63483
Kuwait,Year1991,0.95422
Lebanon,Year1991,3.50613
"Bahamas, The",Year1991,0.24931
Oman,Year1991,1.86607
Palestine,Year1991,--
Qatar,Year1991,0.46112
Saudi Arabia,Year1991,16.30577
Syria,Year1991,12.93313
United Arab Emirates,Year1991,1.93669
Yemen,Year1991,12.88242
Africa,Year1991,647.76698
Algeria,Year1991,25.68708
Angola,Year1991,8.49681
Barbados,Year1991,0.26334
Benin,Year1991,4.85506
Botswana,Year1991,1.3031
Burkina Faso,Year1991,8.64225
Burundi,Year1991,5.67438
Cameroon,Year1991,12.2303
Cape Verde,Year1991,0.34683
Central African Republic,Year1991,3.17449
Chad,Year1991,6.02822
Comoros,Year1991,0.44154
Congo (Brazzaville),Year1991,2.3374
Belize,Year1991,0.19575
Congo (Kinshasa),Year1991,40.36625
Cote dIvoire (IvoryCoast),Year1991,13.03952
Djibouti,Year1991,0.55198
Egypt,Year1991,55.86165
Equatorial Guinea,Year1991,0.38138
Eritrea,Year1991,--
Ethiopia,Year1991,53.20516
Gabon,Year1991,0.96043
"Gambia, The",Year1991,0.98663
Ghana,Year1991,15.84823
Bolivia,Year1991,6.73148
Guinea,Year1991,6.55247
Guinea-Bissau,Year1991,1.02022
Kenya,Year1991,24.12143
Lesotho,Year1991,1.7325
Liberia,Year1991,1.81471
Libya,Year1991,4.25939
Madagascar,Year1991,11.98871
Malawi,Year1991,9.93081
Mali,Year1991,8.51187
Mauritania,Year1991,1.97343
Brazil,Year1991,153.58396
Mauritius,Year1991,1.07172
Morocco,Year1991,24.43372
Mozambique,Year1991,12.9348
Namibia,Year1991,1.51199
Niger,Year1991,8.08532
Nigeria,Year1991,99.0925
Reunion,Year1991,0.607
Rwanda,Year1991,7.14374
Saint Helena,Year1991,0.00673
Sao Tome and Principe,Year1991,0.1186
Cayman Islands,Year1991,0.02751
Senegal,Year1991,7.55397
Seychelles,Year1991,0.07165
Sierra Leone,Year1991,4.3349
Somalia,Year1991,6.46448
South Africa,Year1991,39.29952
Sudan,Year1991,26.76895
Swaziland,Year1991,0.92247
Tanzania,Year1991,25.97254
Togo,Year1991,3.84605
Tunisia,Year1991,8.36852
Chile,Year1991,13.35367
Uganda,Year1991,18.08214
Western Sahara,Year1991,0.22575
Zambia,Year1991,8.0883
Zimbabwe,Year1991,10.43742
Asia & Oceania,Year1991,3002.08385
Afghanistan,Year1991,13.52717
American Samoa,Year1991,0.04857
Australia,Year1991,17.20212
Bangladesh,Year1991,113.91068
Bhutan,Year1991,0.62504
Colombia,Year1991,33.83221
Brunei,Year1991,0.25925
Burma (Myanmar),Year1991,41.18056
Cambodia,Year1991,9.70681
China,Year1991,1163.61039
Cook Islands,Year1991,0.01864
Fiji,Year1991,0.74617
French Polynesia,Year1991,0.20708
Guam,Year1991,0.13816
Hawaiian Trade Zone,Year1991,--
Hong Kong,Year1991,5.752
Canada,Year1991,28.1179
Costa Rica,Year1991,3.09302
India,Year1991,853.72439
Indonesia,Year1991,185.70794
Japan,Year1991,123.94627
Kiribati,Year1991,0.07266
"Korea, North",Year1991,20.36109
"Korea, South",Year1991,43.33991
Laos,Year1991,4.33063
Macau,Year1991,0.36386
Malaysia,Year1991,18.37607
Maldives,Year1991,0.22722
Cuba,Year1991,10.61114
Mongolia,Year1991,2.27038
Nauru,Year1991,0.00967
Nepal,Year1991,19.44833
New Caledonia,Year1991,0.17333
New Zealand,Year1991,3.4532
Niue,Year1991,0.002
Pakistan,Year1991,122.24818
Papua New Guinea,Year1991,3.78309
Philippines,Year1991,66.57223
Samoa,Year1991,0.16369
Dominica,Year1991,0.07012
Singapore,Year1991,3.14458
Solomon Islands,Year1991,0.33147
Sri Lanka,Year1991,17.55905
Taiwan,Year1991,20.49209
Thailand,Year1991,55.94196
Timor-Leste (East Timor),Year1991,--
Tonga,Year1991,0.09126
