Nation,Year,Pop
Turks and Caicos Islands,Year1980,0.00747
Uruguay,Year1980,2.93049
Saint Pierre and Miquelon,Year1980,0.00599
Venezuela,Year1980,14.76789
"Virgin Islands,  U.S.",Year1980,0.09964
"Virgin Islands, British",Year1980,0.011
Europe,Year1980,529.50082
Albania,Year1980,2.67141
Austria,Year1980,7.54943
Belgium,Year1980,9.8468
Bosnia and Herzegovina,Year1980,--
Bulgaria,Year1980,8.84353
Croatia,Year1980,--
United States,Year1980,227.22468
Cyprus,Year1980,0.63027
Czech Republic,Year1980,--
Denmark,Year1980,5.12303
Faroe Islands,Year1980,0.04345
Finland,Year1980,4.77954
Former Czechoslovakia,Year1980,15.25468
Former Serbia and Montenegro,Year1980,--
Former Yugoslavia,Year1980,21.76903
France,Year1980,53.98766
Germany,Year1980,--
Central & South America,Year1980,293.05856
"Germany, East",Year1980,16.7579
"Germany, West",Year1980,61.54
Gibraltar,Year1980,0.02883
Greece,Year1980,9.64251
Hungary,Year1980,10.71112
Iceland,Year1980,0.22816
Ireland,Year1980,3.401
Italy,Year1980,56.47271
Luxembourg,Year1980,0.3644
Macedonia,Year1980,--
Antarctica,Year1980,
Malta,Year1980,0.364
Montenegro,Year1980,--
Netherlands,Year1980,14.1439
Norway,Year1980,4.08562
Poland,Year1980,35.57802
Portugal,Year1980,9.7778
Romania,Year1980,22.13004
Serbia,Year1980,--
Slovakia,Year1980,--
Slovenia,Year1980,--
Antigua and Barbuda,Year1980,0.06855
Spain,Year1980,37.48836
Sweden,Year1980,8.31047
Switzerland,Year1980,6.4103
Turkey,Year1980,45.04797
United Kingdom,Year1980,56.51888
Eurasia,Year1980,265.92182
Armenia,Year1980,--
Azerbaijan,Year1980,--
Belarus,Year1980,--
Estonia,Year1980,--
North America,Year1981,324.44694
Bermuda,Year1981,0.05491
Argentina,Year1981,28.84806
Former U.S.S.R.,Year1981,268.11401
Georgia,Year1981,--
Kazakhstan,Year1981,--
Kyrgyzstan,Year1981,--
Latvia,Year1981,--
Lithuania,Year1981,--
Moldova,Year1981,--
Russia,Year1981,--
Tajikistan,Year1981,--
Turkmenistan,Year1981,--
Aruba,Year1981,--
Ukraine,Year1981,--
Uzbekistan,Year1981,--
Middle East,Year1981,97.61915
Bahrain,Year1981,0.36343
Iran,Year1981,41.45082
Iraq,Year1981,13.7031
Israel,Year1981,3.80134
Jordan,Year1981,2.25377
Kuwait,Year1981,1.43219
Lebanon,Year1981,2.9517
"Bahamas, The",Year1981,0.21345
Oman,Year1981,1.24951
Palestine,Year1981,--
Qatar,Year1981,0.24928
Saudi Arabia,Year1981,10.65493
Syria,Year1981,9.04923
United Arab Emirates,Year1981,1.06972
Yemen,Year1981,9.39014
Africa,Year1981,493.63386
Algeria,Year1981,19.40704
Angola,Year1981,6.87957
Barbados,Year1981,0.25236
Benin,Year1981,3.56485
Botswana,Year1981,0.93444
Burkina Faso,Year1981,6.47437
Burundi,Year1981,4.47776
Cameroon,Year1981,9.04792
Cape Verde,Year1981,0.3002
Central African Republic,Year1981,2.41277
Chad,Year1981,4.51494
Comoros,Year1981,0.34088
Congo (Brazzaville),Year1981,1.72374
Belize,Year1981,0.14921
Congo (Kinshasa),Year1981,29.80802
Cote dIvoire (IvoryCoast),Year1981,8.92247
Djibouti,Year1981,0.34483
Egypt,Year1981,44.1961
Equatorial Guinea,Year1981,0.27178
Eritrea,Year1981,--
Ethiopia,Year1981,40.35937
Gabon,Year1981,0.73084
"Gambia, The",Year1981,0.69266
Ghana,Year1981,11.17096
Bolivia,Year1981,5.54522
Guinea,Year1981,4.54036
Guinea-Bissau,Year1981,0.80706
Kenya,Year1981,16.98722
Lesotho,Year1981,1.39518
Liberia,Year1981,1.913
Libya,Year1981,3.20768
Madagascar,Year1981,8.93876
Malawi,Year1981,6.45967
Mali,Year1981,6.95002
Mauritania,Year1981,1.57765
Brazil,Year1981,125.99213
Mauritius,Year1981,0.97905
Morocco,Year1981,19.84622
Mozambique,Year1981,12.36323
Namibia,Year1981,--
Niger,Year1981,6.239
Nigeria,Year1981,77.14958
Reunion,Year1981,0.51
Rwanda,Year1981,5.30899
Saint Helena,Year1981,0.00658
Sao Tome and Principe,Year1981,0.09644
Cayman Islands,Year1981,0.0179
Senegal,Year1981,5.75446
Seychelles,Year1981,0.0647
Sierra Leone,Year1981,3.40215
Somalia,Year1981,5.8288
South Africa,Year1981,31.24317
Sudan,Year1981,20.19661
Swaziland,Year1981,0.63131
Tanzania,Year1981,19.212
Togo,Year1981,2.71957
Tunisia,Year1981,6.60571
Chile,Year1981,11.2823
Uganda,Year1981,12.72525
Western Sahara,Year1981,0.13909
Zambia,Year1981,5.83063
Zimbabwe,Year1981,7.42922
Asia & Oceania,Year1981,2518.13689
Afghanistan,Year1981,13.67368
American Samoa,Year1981,0.0336
Australia,Year1981,14.92326
Bangladesh,Year1981,94.14314
Bhutan,Year1981,0.46195
Colombia,Year1981,27.21489
Brunei,Year1981,0.19283
Burma (Myanmar),Year1981,33.98181
Cambodia,Year1981,7.0792
China,Year1981,997.00072
Cook Islands,Year1981,0.01765
Fiji,Year1981,0.64677
French Polynesia,Year1981,0.15569
Guam,Year1981,0.10917
Hawaiian Trade Zone,Year1981,
Hong Kong,Year1981,5.1834
Canada,Year1981,24.9
Costa Rica,Year1981,2.35729
India,Year1981,699.15377
Indonesia,Year1981,154.13906
Japan,Year1981,117.64809
Kiribati,Year1981,0.05845
"Korea, North",Year1981,17.38401
"Korea, South",Year1981,38.723
Laos,Year1981,3.33698
Macau,Year1981,0.26093
Malaysia,Year1981,13.87521
Maldives,Year1981,0.15725
Cuba,Year1981,9.71198
Mongolia,Year1981,1.70883
Nauru,Year1981,0.00785
Nepal,Year1981,15.01086
New Caledonia,Year1981,0.1425
New Zealand,Year1981,3.18345
Niue,Year1981,0.002
Pakistan,Year1981,90.97508
Papua New Guinea,Year1981,2.91716
Philippines,Year1981,52.2276
Samoa,Year1981,0.16092
Dominica,Year1981,0.07352
Singapore,Year1981,2.53537
Solomon Islands,Year1981,0.23874
Sri Lanka,Year1981,15.31549
Taiwan,Year1981,18.17743
Thailand,Year1981,47.9365
Timor-Leste (East Timor),Year1981,--
Tonga,Year1981,0.09177
U.S. Pacific Islands,Year1981,0.14283
Vanuatu,Year1981,0.12026
Vietnam,Year1981,54.90268
Dominican Republic,Year1981,5.83171
Wake Island,Year1981,
World,Year1981,4534.01064
Ecuador,Year1981,8.14108
El Salvador,Year1981,4.51972
Falkland Islands (Islas Malvinas),Year1981,0.002
French Guiana,Year1981,0.07
Grenada,Year1981,0.09235
Guadeloupe,Year1981,0.339
Greenland,Year1981,0.05103
Guatemala,Year1981,6.82868
Guyana,Year1981,0.76193
Haiti,Year1981,5.62287
Honduras,Year1981,3.54306
Jamaica,Year1981,2.25837
Martinique,Year1981,0.341
Montserrat,Year1981,0.01179
Netherlands Antilles,Year1981,0.23449
Nicaragua,Year1981,2.90173
Panama,Year1981,1.9989
Mexico,Year1981,69.96926
Paraguay,Year1981,3.25084
Peru,Year1981,17.7548
Puerto Rico,Year1981,3.23897
Saint Kitts and Nevis,Year1981,0.04348
Saint Lucia,Year1981,0.124
Saint Vincent/Grenadines,Year1981,0.0992
Suriname,Year1981,0.35251
Trinidad and Tobago,Year1981,1.10784
Turks and Caicos Islands,Year1981,0.00779
Uruguay,Year1981,2.94813
Saint Pierre and Miquelon,Year1981,0.00601
Venezuela,Year1981,15.16626
"Virgin Islands,  U.S.",Year1981,0.09985
"Virgin Islands, British",Year1981,0.01142
Europe,Year1981,532.62947
Albania,Year1981,2.72427
Austria,Year1981,7.56463
Belgium,Year1981,9.8524
Bosnia and Herzegovina,Year1981,--
Bulgaria,Year1981,8.86944
Croatia,Year1981,--
United States,Year1981,229.46571
Cyprus,Year1981,0.63805
Czech Republic,Year1981,--
Denmark,Year1981,5.12157
Faroe Islands,Year1981,0.04386
Finland,Year1981,4.79996
Former Czechoslovakia,Year1981,15.3116
Former Serbia and Montenegro,Year1981,--
Former Yugoslavia,Year1981,21.90497
France,Year1981,54.27995
Germany,Year1981,--
Central & South America,Year1981,299.43033
"Germany, East",Year1981,16.74183
"Germany, West",Year1981,61.66
Gibraltar,Year1981,0.02927
Greece,Year1981,9.72935
Hungary,Year1981,10.71185
Iceland,Year1981,0.2308
Ireland,Year1981,3.4434
Italy,Year1981,56.5242
Luxembourg,Year1981,0.3654
Macedonia,Year1981,--
Antarctica,Year1981,
Malta,Year1981,0.36365
Montenegro,Year1981,--
Netherlands,Year1981,14.24605
Norway,Year1981,4.0997
Poland,Year1981,35.90196
Portugal,Year1981,9.85008
Romania,Year1981,22.25655
Serbia,Year1981,--
Slovakia,Year1981,--
Slovenia,Year1981,--
Antigua and Barbuda,Year1981,0.06826
Spain,Year1981,37.7508
Sweden,Year1981,8.32049
Switzerland,Year1981,6.45112
Turkey,Year1981,46.25323
United Kingdom,Year1981,56.58903
Eurasia,Year1981,268.11401
Armenia,Year1981,--
Azerbaijan,Year1981,--
Belarus,Year1981,--
Estonia,Year1981,--
North America,Year1982,328.62014
Bermuda,Year1982,0.05517
Argentina,Year1982,29.32988
Former U.S.S.R.,Year1982,270.37541
Georgia,Year1982,--
Kazakhstan,Year1982,--
Kyrgyzstan,Year1982,--
Latvia,Year1982,--
Lithuania,Year1982,--
Moldova,Year1982,--
Russia,Year1982,--
Tajikistan,Year1982,--
Turkmenistan,Year1982,--
Aruba,Year1982,--
Ukraine,Year1982,--
Uzbekistan,Year1982,--
Middle East,Year1982,101.52251
Bahrain,Year1982,0.37796
Iran,Year1982,43.21824
Iraq,Year1982,14.17332
Israel,Year1982,3.85842
Jordan,Year1982,2.34764
Kuwait,Year1982,1.49749
Lebanon,Year1982,3.0056
"Bahamas, The",Year1982,0.21713
Oman,Year1982,1.3136
Palestine,Year1982,--
Qatar,Year1982,0.25961
Saudi Arabia,Year1982,11.28881
Syria,Year1982,9.38665
United Arab Emirates,Year1982,1.13755
Yemen,Year1982,9.65762
Africa,Year1982,508.69882
Algeria,Year1982,20.03375
Angola,Year1982,7.01853
Barbados,Year1982,0.25348
Benin,Year1982,3.67513
Botswana,Year1982,0.97065
Burkina Faso,Year1982,6.63723
Burundi,Year1982,4.58491
Cameroon,Year1982,9.28255
Cape Verde,Year1982,0.30409
Central African Republic,Year1982,2.47757
Chad,Year1982,4.73288
Comoros,Year1982,0.34882
Congo (Brazzaville),Year1982,1.77516
Belize,Year1982,0.1533
Congo (Kinshasa),Year1982,30.64884
Cote dIvoire (IvoryCoast),Year1982,9.25983
Djibouti,Year1982,0.35616
Egypt,Year1982,45.68181
Equatorial Guinea,Year1982,0.28548
Eritrea,Year1982,--
Ethiopia,Year1982,42.18999
Gabon,Year1982,0.75424
"Gambia, The",Year1982,0.71552
Ghana,Year1982,11.39415
Bolivia,Year1982,5.64222
Guinea,Year1982,4.63601
Guinea-Bissau,Year1982,0.82577
Kenya,Year1982,17.65997
Lesotho,Year1982,1.43282
Liberia,Year1982,1.97148
Libya,Year1982,3.34789
Madagascar,Year1982,9.19587
Malawi,Year1982,6.66854
Mali,Year1982,7.08238
Mauritania,Year1982,1.61189
Brazil,Year1982,129.02765
Mauritius,Year1982,0.99204
Morocco,Year1982,20.19873
Mozambique,Year1982,12.58733
Namibia,Year1982,--
Niger,Year1982,6.38918
Nigeria,Year1982,79.51098
Reunion,Year1982,0.52
Rwanda,Year1982,5.48328
Saint Helena,Year1982,0.00664
Sao Tome and Principe,Year1982,0.09824
Cayman Islands,Year1982,0.01852
Senegal,Year1982,5.90285
Seychelles,Year1982,0.06528
Sierra Leone,Year1982,3.47225
Somalia,Year1982,5.8345
South Africa,Year1982,32.2392
Sudan,Year1982,20.94364
Swaziland,Year1982,0.64981
Tanzania,Year1982,19.77679
Togo,Year1982,2.8166
Tunisia,Year1982,6.7341
Chile,Year1982,11.48711
Uganda,Year1982,13.07893
Western Sahara,Year1982,0.15455
Zambia,Year1982,6.0475
Zimbabwe,Year1982,7.63652
Asia & Oceania,Year1982,2563.52187
Afghanistan,Year1982,12.57743
American Samoa,Year1982,0.03471
Australia,Year1982,15.16178
Bangladesh,Year1982,96.18533
Bhutan,Year1982,0.47824
Colombia,Year1982,27.82604
Brunei,Year1982,0.19886
Burma (Myanmar),Year1982,34.64219
Cambodia,Year1982,7.29713
China,Year1982,1012.49049
Cook Islands,Year1982,0.01744
Fiji,Year1982,0.65891
French Polynesia,Year1982,0.16042
Guam,Year1982,0.10928
Hawaiian Trade Zone,Year1982,
Hong Kong,Year1982,5.2645
Canada,Year1982,25.2019
Costa Rica,Year1982,2.42437
India,Year1982,713.71094
Indonesia,Year1982,157.27963
Japan,Year1982,118.45497
Kiribati,Year1982,0.05935
"Korea, North",Year1982,17.64752
"Korea, South",Year1982,39.326
Laos,Year1982,3.41116
Macau,Year1982,0.27081
Malaysia,Year1982,14.30829
Maldives,Year1982,0.1619
Cuba,Year1982,9.78922
Mongolia,Year1982,1.75603
Nauru,Year1982,0.008
Nepal,Year1982,15.37507
New Caledonia,Year1982,0.145
New Zealand,Year1982,3.2149
Niue,Year1982,0.002
Pakistan,Year1982,94.09612
Papua New Guinea,Year1982,2.991
Philippines,Year1982,53.55718
Samoa,Year1982,0.16074
Dominica,Year1982,0.07381
Singapore,Year1982,2.65187
Solomon Islands,Year1982,0.24693
Sri Lanka,Year1982,15.57547
Taiwan,Year1982,18.50139
Thailand,Year1982,48.82716
Timor-Leste (East Timor),Year1982,--
Tonga,Year1982,0.0922
U.S. Pacific Islands,Year1982,0.14762
Vanuatu,Year1982,0.12379
Vietnam,Year1982,56.14218
Dominican Republic,Year1982,5.96874
Wake Island,Year1982,
World,Year1982,4613.94102
Ecuador,Year1982,8.36585
El Salvador,Year1982,4.47992
Falkland Islands (Islas Malvinas),Year1982,0.002
French Guiana,Year1982,0.07
Grenada,Year1982,0.09241
Guadeloupe,Year1982,0.341
Greenland,Year1982,0.05166
Guatemala,Year1982,6.98272
Guyana,Year1982,0.76286
Haiti,Year1982,5.74042
Honduras,Year1982,3.67004
Jamaica,Year1982,2.29831
Martinique,Year1982,0.343
Montserrat,Year1982,0.01166
Netherlands Antilles,Year1982,0.23757
Nicaragua,Year1982,2.97991
Panama,Year1982,2.0395
Mexico,Year1982,71.6409
Paraguay,Year1982,3.33837
Peru,Year1982,18.17252
Puerto Rico,Year1982,3.279
Saint Kitts and Nevis,Year1982,0.04338
Saint Lucia,Year1982,0.12558
Saint Vincent/Grenadines,Year1982,0.10048
Suriname,Year1982,0.36009
Trinidad and Tobago,Year1982,1.12732
Turks and Caicos Islands,Year1982,0.00815
Uruguay,Year1982,2.96835
Saint Pierre and Miquelon,Year1982,0.00605
Venezuela,Year1982,15.62077
"Virgin Islands,  U.S.",Year1982,0.10007
"Virgin Islands, British",Year1982,0.01182
Europe,Year1982,535.24974
Albania,Year1982,2.7801
Austria,Year1982,7.57461
Belgium,Year1982,9.8563
Bosnia and Herzegovina,Year1982,--
Bulgaria,Year1982,8.8921
Croatia,Year1982,--
United States,Year1982,231.66446
Cyprus,Year1982,0.64532
Czech Republic,Year1982,--
Denmark,Year1982,5.11781
Faroe Islands,Year1982,0.04425
Finland,Year1982,4.82693
Former Czechoslovakia,Year1982,15.35175
Former Serbia and Montenegro,Year1982,--
Former Yugoslavia,Year1982,22.06112
France,Year1982,54.5712
Germany,Year1982,--
Central & South America,Year1982,305.95253
"Germany, East",Year1982,16.73527
"Germany, West",Year1982,61.6
Gibraltar,Year1982,0.02885
Greece,Year1982,9.78648
Hungary,Year1982,10.70554
Iceland,Year1982,0.234
Ireland,Year1982,3.48
Italy,Year1982,56.55763
Luxembourg,Year1982,0.36572
Macedonia,Year1982,--
Antarctica,Year1982,
Malta,Year1982,0.36022
Montenegro,Year1982,--
Netherlands,Year1982,14.3104
Norway,Year1982,4.11479
Poland,Year1982,36.22738
Portugal,Year1982,9.85965
Romania,Year1982,22.35673
Serbia,Year1982,--
Slovakia,Year1982,--
Slovenia,Year1982,--
Antigua and Barbuda,Year1982,0.06801
Spain,Year1982,37.98331
Sweden,Year1982,8.32526
Switzerland,Year1982,6.49438
Turkey,Year1982,47.46418
United Kingdom,Year1982,56.53848
Eurasia,Year1982,270.37541
Armenia,Year1982,--
Azerbaijan,Year1982,--
Belarus,Year1982,--
Estonia,Year1982,--
North America,Year1983,332.72487
Bermuda,Year1983,0.05551
Argentina,Year1983,29.79355
Former U.S.S.R.,Year1983,272.79689
Georgia,Year1983,--
Kazakhstan,Year1983,--
Kyrgyzstan,Year1983,--
Latvia,Year1983,--
Lithuania,Year1983,--
Moldova,Year1983,--
Russia,Year1983,--
Tajikistan,Year1983,--
Turkmenistan,Year1983,--
Aruba,Year1983,--
Ukraine,Year1983,--
Uzbekistan,Year1983,--
Middle East,Year1983,105.53011
Bahrain,Year1983,0.39303
Iran,Year1983,44.98932
Iraq,Year1983,14.65222
Israel,Year1983,3.92689
Jordan,Year1983,2.44068
Kuwait,Year1983,1.56582
Lebanon,Year1983,3.06024
"Bahamas, The",Year1983,0.22086
Oman,Year1983,1.37675
Palestine,Year1983,--
Qatar,Year1983,0.29241
Saudi Arabia,Year1983,11.95226
Syria,Year1983,9.73512
United Arab Emirates,Year1983,1.2091
Yemen,Year1983,9.93626
Africa,Year1983,523.66026
Algeria,Year1983,20.68098
Angola,Year1983,7.24054
Barbados,Year1983,0.25485
Benin,Year1983,3.78904
Botswana,Year1983,1.00702
Burkina Faso,Year1983,6.80728
Burundi,Year1983,4.7052
Cameroon,Year1983,9.56272
Cape Verde,Year1983,0.3082
Central African Republic,Year1983,2.54328
Chad,Year1983,4.97116
Comoros,Year1983,0.3572
Congo (Brazzaville),Year1983,1.82856
Belize,Year1983,0.15685
Congo (Kinshasa),Year1983,31.44687
Cote dIvoire (IvoryCoast),Year1983,9.60646
Djibouti,Year1983,0.37012
Egypt,Year1983,47.09303
Equatorial Guinea,Year1983,0.29958
Eritrea,Year1983,--
Ethiopia,Year1983,43.4599
Gabon,Year1983,0.77902
"Gambia, The",Year1983,0.73914
Ghana,Year1983,12.15058
Bolivia,Year1983,5.73743
Guinea,Year1983,4.7344
Guinea-Bissau,Year1983,0.84501
Kenya,Year1983,18.34799
Lesotho,Year1983,1.47148
Liberia,Year1983,2.03237
Libya,Year1983,3.48858
Madagascar,Year1983,9.46302
Malawi,Year1983,6.88393
Mali,Year1983,7.21901
Mauritania,Year1983,1.64759
Brazil,Year1983,131.96012
Mauritius,Year1983,1.00218
Morocco,Year1983,20.6794
Mozambique,Year1983,12.77284
Namibia,Year1983,--
Niger,Year1983,6.54413
Nigeria,Year1983,81.16374
Reunion,Year1983,0.53
Rwanda,Year1983,5.66317
Saint Helena,Year1983,0.00675
Sao Tome and Principe,Year1983,0.10013
Cayman Islands,Year1983,0.01909
Senegal,Year1983,6.05554
Seychelles,Year1983,0.06585
Sierra Leone,Year1983,3.54564
Somalia,Year1983,6.01035
South Africa,Year1983,33.27827
Sudan,Year1983,21.69704
Swaziland,Year1983,0.67241
Tanzania,Year1983,20.36842
Togo,Year1983,2.9175
Tunisia,Year1983,6.85989
Chile,Year1983,11.68662
Uganda,Year1983,13.47039
Western Sahara,Year1983,0.16568
Zambia,Year1983,6.28337
Zimbabwe,Year1983,7.92834
Asia & Oceania,Year1983,2610.10261
Afghanistan,Year1983,12.43058
American Samoa,Year1983,0.03584
Australia,Year1983,15.34807
Bangladesh,Year1983,98.23486
Bhutan,Year1983,0.49489
Colombia,Year1983,28.45499
Brunei,Year1983,0.20495
Burma (Myanmar),Year1983,35.32599
Cambodia,Year1983,7.53065
China,Year1983,1028.35653
Cook Islands,Year1983,0.01749
Fiji,Year1983,0.67191
French Polynesia,Year1983,0.16532
Guam,Year1983,0.11408
Hawaiian Trade Zone,Year1983,
Hong Kong,Year1983,5.3451
Canada,Year1983,25.4563
Costa Rica,Year1983,2.49435
India,Year1983,728.52155
Indonesia,Year1983,160.44071
Japan,Year1983,119.26995
Kiribati,Year1983,0.06025
"Korea, North",Year1983,17.91799
"Korea, South",Year1983,39.91
Laos,Year1983,3.49496
Macau,Year1983,0.28545
Malaysia,Year1983,14.75262
Maldives,Year1983,0.16685
Cuba,Year1983,9.88126
Mongolia,Year1983,1.805
Nauru,Year1983,0.00815
Nepal,Year1983,15.75685
New Caledonia,Year1983,0.14658
New Zealand,Year1983,3.25645
Niue,Year1983,0.002
Pakistan,Year1983,96.88143
Papua New Guinea,Year1983,3.0676
Philippines,Year1983,54.88541
Samoa,Year1983,0.16066
Dominica,Year1983,0.07429
Singapore,Year1983,2.68926
Solomon Islands,Year1983,0.25535
Sri Lanka,Year1983,15.78446
Taiwan,Year1983,18.80339
Thailand,Year1983,49.69425
Timor-Leste (East Timor),Year1983,--
Tonga,Year1983,0.09263
U.S. Pacific Islands,Year1983,0.15281
Vanuatu,Year1983,0.12738
Vietnam,Year1983,57.43635
Dominican Republic,Year1983,6.10582
Wake Island,Year1983,
World,Year1983,4694.9362
Ecuador,Year1983,8.59349
El Salvador,Year1983,4.52671
Falkland Islands (Islas Malvinas),Year1983,0.002
French Guiana,Year1983,0.08
Grenada,Year1983,0.09253
Guadeloupe,Year1983,0.345
Greenland,Year1983,0.05211
Guatemala,Year1983,7.18865
Guyana,Year1983,0.76216
Haiti,Year1983,5.86229
Honduras,Year1983,3.79614
Jamaica,Year1983,2.30639
Martinique,Year1983,0.346
Montserrat,Year1983,0.01156
Netherlands Antilles,Year1983,0.24092
Nicaragua,Year1983,3.04918
Panama,Year1983,2.08079
Mexico,Year1983,73.36288
Paraguay,Year1983,3.43192
Peru,Year1983,18.59145
Puerto Rico,Year1983,3.31603
Saint Kitts and Nevis,Year1983,0.04323
Saint Lucia,Year1983,0.12729
Saint Vincent/Grenadines,Year1983,0.10181
Suriname,Year1983,0.36762
Trinidad and Tobago,Year1983,1.14815
